category,item,price
Spice Level Addition,Medium中辣,$0.00
Spice Level Addition,Mild不辣,$0.00
Spice Level Addition,Spicy辣,$0.00
Chicken Lunch Special,L 1. General Tso's Chicken 左宗鸡,$9.95
Chicken Lunch Special,L 2. Chicken w. Broccoli 芥兰鸡,$9.95
Chicken Lunch Special,L 3. Moo Goo Gai Pan Chicken 蘑菇鸡片,$9.95
Chicken Lunch Special,L 4. Sweet & Sour Chicken 甜酸鸡,$9.95
Chicken Lunch Special,L 5. Crispy Chicken 脆皮鸡,$9.95
Chicken Lunch Special,L 6. Chicken w. Garlic Sauce 鱼香鸡,$9.95
Chicken Lunch Special,L 7. Black Pepper Chicken 黑淑鸡,$9.95
Chicken Lunch Special,L 8. Chicken w. Mixed Vegetables 杂菜鸡,$9.95
Chicken Lunch Special,L 9. Sesame Chicken 芝麻鸡,$9.95
Chicken Lunch Special,L10. Orange Chicken 陈皮鸡,$9.95
Chicken Lunch Special,L11. Cashew Nut Chicken 腰果鸡,$9.95
Chicken Lunch Special,L12. Kung Po Chicken 宫保鸡,$9.95
Chicken Lunch Special,L13. Chicken Chow Mein 鸡炒面,$9.95
Chicken Lunch Special,L14. Curry Chicken 咖喱鸡,$9.95
Chicken Lunch Special,L15. Hunan Chicken 湖南鸡,$9.95
Beef Lunch Special,L16. Beef w. Broccoli 芥兰牛,$9.95
Beef Lunch Special,L17. Pepper Steak w. Onion 青椒牛,$9.95
Beef Lunch Special,L18. Beef w. Mushroom 蘑菇牛,$9.95
Beef Lunch Special,L19. Hunan Beef 湖南牛,$9.95
Beef Lunch Special,L20. Beef w. Garlic Sauce 鱼香牛,$9.95
Shrimp Lunch Special,L21. Shrimp w. Broccoli 芥兰虾,$9.95
Shrimp Lunch Special,L22. Shrimp w. Garlic Sauce 鱼香虾,$9.95
Shrimp Lunch Special,L23. Shrimp w. Lobster Sauce 虾龙糊,$9.95
Shrimp Lunch Special,L24. Shrimp w. Mixed Vegetables 什菜虾,$9.95
Shrimp Lunch Special,L25. Shrimp Egg Foo Young 虾芙蓉蛋,$9.95
Shrimp Lunch Special,L26. Scallop w. Broccoli 芥兰干贝,$9.95
Vegetable Lunch Special,L27. Sauteed Mixed Vegetable 什菜,$9.95
Vegetable Lunch Special,L28. Buddhist Delight 罗汉斋,$9.95
Vegetable Lunch Special,L29. General Tso's Tofu 左宗豆腐,$9.95
Vegetable Lunch Special,L30. Sesame Tofu 芝麻豆腐,$9.95
Vegetable Lunch Special,L31. Broccoli w. Garlic Sauce 鱼香芥兰,$9.95
Lo Mein Lunch Special,L32. Chicken Lo Mein 鸡捞面,$9.95
Lo Mein Lunch Special,L33. Shrimp Lo Mein 虾捞面,$9.95
Lo Mein Lunch Special,L34. Pork Lo Mein 肉捞面,$9.95
Lo Mein Lunch Special,L35. Vegetable Lo Mein 菜捞面,$9.95
Appetizers,1. Roast Pork Egg Roll (1) 春卷,$2.20
Appetizers,2. Shrimp Egg Roll (1) 虾卷,$3.00
Appetizers,4. Boneless Spare Ribs 无骨排,$9.95
Appetizers,5. Shrimp Toast (4) 虾吐司,$6.95
Appetizers,6. Steamed Dumpling 水饺(8),$8.95
